#;Number Of Ships;Worst FPS;Best FPS;% CPU Time Worst;Improvements;% CPU Time New;Maintainabilty Effects;Effects Functionality;Tested On;;;;;;;
1;40;60;60;N/A;Replace colliders with colliders from SpaceDefense assignment;N/A;None;No;Desktop;;;;;;;
2;40;60;60;21,65;Remove collision from particles by setting group to none;8,76;Extra check for collision group (none);No;Desktop;;;;;;;
3;40;60;60;14,8;Replace ReplaceAndFadeTexture in Ship with Shader;Moved to GPU;Replaces calls to recolor texture function to updating shader params.;No;Desktop;;;;;;;
4;200;1;1;N/A;Increase ship count to better see issues;N/A;N/A;N/A;Desktop;;;;;;;
5;200;1;60;38,83;Fix issues with collision, did flags incorrectly in the first try, Also cache some expensive lookups and add early returns,;5,62;None;No;Desktop;;;;;;;
6;800;1;1;N/A;Increase ship count to better see issues;N/A;N/A;N/A;Desktop;;;;;;;
7;800;1;2;30,43;Replace CircleCollider Contains internal square root with a direct squared compare, But with so many object this has a small impact.;28,58;None;No;Desktop;;;;;;;
8;800;2;2;16,75;Replace Circle Reactangle intersect with more performant version;12,77;None;No;Desktop;;;;;;;
9;800;2;2;N/A;Cache game objects by type in GameManager;N/A;Ships and other gameobjects can now more easily find game objects by type;No;Desktop;;;;;;;
10;242;60;60;N/A;Finding max amount of ships before dropping below 60 FPS;N/A;N/A;N/A;Desktop;;;;;;;
11;800;2;2;38,94;Update collision system to Spatial Hash Grid;No longer shown in Profiler;GameManager needs to do calls to the grid class, GameObjects have an unique id. API hasn't chnaged.;No;Desktop;;;;;;;
12;288;2;60;74.48;Optimize AvoidObstacles using Spatial Hash Grid;No longer shown in Profiler;A few more cached fields Body of the Avoid method has changed, doesn't effect anything outside the Ship.;No;Desktop;;;;;;;
13;800;2;56;89.16;Cache nearest enemy for N random miliseconds to spread search load over multiple frames.;1.33;None;Ships might be a bit slower swithcing to a closer enemy;Desktop;;;;;;;
14;1250;2;60;Not shown on Profiler;Ship spatial hash grid for FindNearestEnemy;Not shown on Profiler;New spacial hash grid to keep track of.;No;Desktop;;;;;;;
15;2738;10;50;Not shown on Profiler;Batch call ship draws instead of one by one;Not shown on Profiler;Slightly more coupling between GameManager and Ship. New teams need to be added to batch calls.;No;Desktop;;;;;;;
16;2738;2;10;Not shown on Profiler;Object pooling for bullets. Capped to 4k bullets at a time.;Not shown on Profiler;Slightly more coupling between GameManager, Bullet and Ship. GameManager holds the bullet pool.;Oldest bullet is reset if there are no bullets in the pool. With a lot of ships, they might not be able to hit eachother.;Desktop;;;;;;;
17;2738;10;60;Not shown on Profiler;Replace particles with a shader.;Not shown on Profiler;Particles are now controlled via shader params.;No;Desktop;;;;;;;
18;3200;2;60;Not shown on Profiler;ViewSpace Culling. Don't render that we can't see.;Not shown on Profiler;None;No;Desktop;;;;;;;
19;3200;60;2;Not shown on Profiler;Use Jasper's spawn code for ships, shows issues better.;Not shown on Profiler;None;No;Desktop;;;;;;;
20;3200;2;60;45.92;Parallel ship updates;No longer shown in Profiler;_toBeAdded/_toBeRemoved become ConcurrentQueue instead of List. API is unchanged.;No;Desktop;;;;;;;
21;3200;2;60;38.13;Optimize SpacialHashGrid better by replacing HashSet with list in the query return for ships.;31.4;None;No;Desktop;;;;;;;
22;3200;2;60;26.6;"Implement ""Hive Mind"" behaviour for ships that are close to eachother to cut down on avoid and find calls.";No longer shown in Profiler;Extra check needed to see which ships are clumped together and assign one as a leader.;"Ships that are close together will use a ""leader"" to determine who to target and avoid. Meaning close ships copy eachotherts behaviour.";Desktop;;;;;;;
23;3200;2;60;43.78;Optimize SpacialHash Query better;30.42;None;No;Desktop;;;;;;;
24;3200;10;60;Not shown on Profiler;Optimize cache busts that cause giant lagg spikes;Not shown on Profiler;None;No;Desktop;;;;;;;
25;3200;10;60;25.85;Remove find nearest enemy fallback;No longer shown in Profiler;None;Ships won't shoot at all when the spacial hash returns nothing.;Desktop;;;;;;;
26;3200;20;60;Not shown on Profiler;Double the ShipSpatialHash cell size;Not shown on Profiler;None;No;Desktop;;;;;;;
27;3200;20;60;Not shown on Profiler;Increase clump size and re-election interval;Not shown on Profiler;None;No;Desktop;;;;;;;
28;;;;;;;;;;;;;;;;
29;;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;;;
31;;;;;;;;;;;;;;;;
32;;;;;;;;;;;;;;;;
33;;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;;
37;;;;;;;;;;;;;;;;
38;;;;;;;;;;;;;;;;
39;;;;;;;;;;;;;;;;
